2 Firemane Cub (Set2 #1)
3 Grenadin Drone (Set1 #5)
2 Heavy Axe (Set1 #4)
4 Oni Ronin (Set1 #13)
1 Pyroknight (Set1 #16)
4 Ticking Grenadin (Set1 #12)
4 Torch (Set1 #8)
1 Warhelm (Set1 #14)
1 Bladekin Apprentice (Set1 #22)
4 Blazing Renegade (Set0 #4)
4 Pyre Adept (Set1 #21)
4 Rakano Outlaw (Set1 #20)
1 Rampage (Set1 #17)
1 Unpredictable Outlaw (Set3 #13)
1 Assembly Line (Set1 #29)
3 Granite Acolyte (Set1 #31)
1 Granite Ring (Set2 #9)
1 Grenade (Set2 #10)
1 Rakano Flagbearer (Set1 #27)
1 Rally (Set1 #33)
1 Stoneshaker (Set2 #15)
1 Barbarian Camp (Set3 #29)
2 Dusthoof Brawler (Set1 #49)
2 Flash Fire (Set0 #6)
24 Fire Sigil (Set1 #1)
1 Granite Waystone (Set3 #1)
